               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  97,              1.1401,               1.133,              1.7147,             0.88062,             0.83826,              0.8888,             0.57894,                   0,                   0,                   0,           0.0050241,           0.0050241,           0.0050241
                  98,              1.1456,              1.1315,              1.7213,             0.89108,             0.82997,             0.88366,             0.59902,                   0,                   0,                   0,           0.0049723,           0.0049723,           0.0049723
                  99,              1.1389,              1.1375,              1.7135,             0.88921,             0.82408,             0.88899,             0.59608,                   0,                   0,                   0,           0.0049204,           0.0049204,           0.0049204
                 100,              1.1356,              1.1114,              1.6997,              0.8479,             0.83981,             0.88354,             0.58989,                   0,                   0,                   0,           0.0048686,           0.0048686,           0.0048686
                 101,              1.1331,              1.1197,              1.7019,              0.8727,             0.82438,             0.88501,             0.57831,                   0,                   0,                   0,           0.0048168,           0.0048168,           0.0048168
                 102,              1.1148,              1.0767,              1.6855,             0.89565,             0.79846,             0.88443,             0.59666,                   0,                   0,                   0,           0.0047649,           0.0047649,           0.0047649
                 103,               1.118,              1.0986,              1.6881,             0.88629,              0.8277,             0.88499,             0.58811,                   0,                   0,                   0,           0.0047131,           0.0047131,           0.0047131
                 104,              1.1039,              1.0786,               1.694,             0.88881,             0.83992,             0.89275,             0.59934,                   0,                   0,                   0,           0.0046613,           0.0046613,           0.0046613
                 105,              1.1074,              1.0831,              1.6795,             0.84494,             0.85481,             0.87771,             0.59816,                   0,                   0,                   0,           0.0046094,           0.0046094,           0.0046094
                 106,              1.0946,              1.0679,              1.6882,             0.87807,             0.81196,             0.88042,             0.58934,                   0,                   0,                   0,           0.0045576,           0.0045576,           0.0045576
                 107,              1.0938,              1.0496,               1.682,             0.86051,             0.82518,             0.87806,             0.58744,                   0,                   0,                   0,           0.0045058,           0.0045058,           0.0045058
                 108,              1.0884,              1.0476,              1.6717,             0.86898,             0.81238,             0.88129,             0.61015,                   0,                   0,                   0,           0.0044539,           0.0044539,           0.0044539
                 109,              1.0847,              1.0446,              1.6659,             0.90939,             0.78983,             0.89056,             0.60322,                   0,                   0,                   0,           0.0044021,           0.0044021,           0.0044021
                 110,               1.082,              1.0418,               1.671,             0.90264,             0.81769,             0.87572,             0.58772,                   0,                   0,                   0,           0.0043503,           0.0043503,           0.0043503
                 111,              1.0747,              1.0453,              1.6769,             0.87669,             0.84802,              0.8897,             0.59472,                   0,                   0,                   0,           0.0042984,           0.0042984,           0.0042984
                 112,               1.065,              1.0419,              1.6518,              0.8864,             0.83921,              0.8914,             0.59081,                   0,                   0,                   0,           0.0042466,           0.0042466,           0.0042466
                 113,              1.0758,              1.0396,              1.6643,             0.90211,             0.82033,             0.88117,             0.58514,                   0,                   0,                   0,           0.0041948,           0.0041948,           0.0041948
