               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 131,              1.2875,              1.4236,              1.8144,             0.88742,             0.73897,             0.76853,             0.56681,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                 132,              1.2747,              1.4202,              1.8037,             0.94589,             0.71117,             0.77469,             0.56485,                   0,                   0,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,               1.262,              1.3925,               1.805,             0.91863,             0.68889,              0.7445,             0.56422,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                 134,              1.2505,              1.3985,              1.7997,             0.92685,             0.69692,             0.75982,              0.5901,                   0,                   0,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,              1.2538,              1.3993,              1.8158,              0.9718,             0.66004,             0.77615,             0.57895,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                 136,              1.2713,              1.4234,              1.8315,             0.92867,             0.66825,             0.76166,             0.59815,                   0,                   0,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,              1.2535,              1.4071,               1.798,             0.90357,             0.66111,             0.74116,             0.58125,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                 138,              1.2426,              1.3602,              1.7748,             0.71481,             0.77381,             0.76968,             0.59308,                   0,                   0,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,              1.2328,               1.385,              1.7898,             0.90237,             0.71296,             0.74837,             0.57364,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                 140,              1.2308,              1.3281,              1.7827,              0.9075,             0.69169,             0.74396,             0.58905,                   0,                   0,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,              1.2354,              1.3701,              1.7746,             0.93067,             0.69047,             0.75449,              0.5864,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                 142,              1.2278,              1.3537,              1.7794,             0.88218,             0.68405,             0.74737,             0.58018,                   0,                   0,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,               1.242,              1.3879,              1.7903,             0.75017,             0.76858,             0.77202,             0.58521,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                 144,              1.2261,              1.3432,              1.7917,             0.89456,             0.73187,             0.74918,             0.57467,                   0,                   0,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,              1.2088,              1.3048,              1.7565,             0.86674,             0.71114,             0.74091,             0.57217,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                 146,              1.2452,              1.3349,              1.7793,             0.87743,             0.71543,             0.72529,             0.57199,                   0,                   0,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,              1.1994,              1.2915,              1.7391,             0.91071,             0.66854,                0.75,             0.57281,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                 148,              1.2152,              1.3056,              1.7741,             0.88366,             0.72668,             0.78257,             0.59158,                   0,                   0,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,              1.2248,              1.3039,              1.7723,             0.89623,             0.72492,             0.76203,             0.58398,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                 150,              1.1953,              1.3119,              1.7531,             0.88804,             0.67222,             0.73744,             0.57329,                   0,                   0,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,              1.1865,               1.279,              1.7543,             0.68774,             0.73544,             0.73859,             0.54668,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                 152,              1.1564,              1.2889,              1.7359,             0.87155,              0.7285,              0.7662,             0.59271,                   0,                   0,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,              1.1908,               1.279,              1.7546,             0.77651,             0.73561,             0.76367,             0.58742,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                 154,              1.1734,              1.2439,              1.7182,             0.91051,             0.71671,             0.76819,             0.59379,                   0,                   0,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,               1.185,              1.2622,              1.7283,             0.92567,             0.70917,             0.76176,             0.59966,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                 156,              1.1805,              1.2449,              1.7393,             0.90757,             0.71515,             0.76479,             0.60547,                   0,                   0,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,               1.172,              1.2493,              1.7271,             0.70755,             0.77928,             0.74937,             0.59996,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                 158,              1.1502,              1.2574,              1.7283,             0.91158,             0.67634,             0.72974,             0.58353,                   0,                   0,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,              1.1729,               1.203,              1.7291,             0.91479,                 0.7,             0.74771,             0.58149,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                 160,              1.1647,              1.2634,              1.7289,             0.93267,             0.66147,             0.75958,             0.58958,                   0,                   0,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,              1.1697,               1.253,              1.7187,              0.9382,                 0.7,             0.76497,             0.59404,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                 162,              1.1285,              1.1985,              1.7017,             0.80449,             0.72381,             0.76402,             0.60207,                   0,                   0,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,              1.1374,              1.2056,               1.706,             0.93771,             0.66802,             0.73589,             0.58689,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                 164,              1.1111,              1.1775,              1.7016,             0.93947,             0.65556,             0.74357,              0.6021,                   0,                   0,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,               1.135,              1.2101,              1.7036,              0.8997,             0.67222,             0.74332,             0.59647,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                 166,              1.1065,              1.1766,              1.6897,             0.93392,             0.66439,             0.74514,             0.58565,                   0,                   0,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,              1.1298,              1.2066,              1.7105,             0.93935,             0.65912,             0.74396,             0.60398,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                 168,              1.1286,              1.1608,              1.6983,             0.93958,             0.66046,             0.71871,              0.5903,                   0,                   0,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,              1.1215,              1.1604,              1.6777,             0.92283,             0.67222,             0.75191,              0.6162,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                 170,              1.1085,              1.1402,              1.6783,             0.92148,             0.71667,              0.7602,             0.60264,                   0,                   0,                   0,           0.0016345,           0.0016345,           0.0016345
                 171,              1.1282,              1.1691,              1.6884,             0.94161,             0.68137,             0.74701,             0.58426,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                 172,              1.0898,              1.1264,              1.6655,             0.90816,             0.69086,             0.74175,             0.58328,                   0,                   0,                   0,           0.0015355,           0.0015355,           0.0015355
