                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.91892,                0.84883,                 1.3217,                0.88463,                0.77545,                0.85425,                0.62066,                 1.1009,                0.77945,                  1.525,              0.0009209,              0.0009209,              0.0009209
                    111,                0.89878,                0.85908,                 1.3119,                0.90322,                0.75444,                 0.8568,                 0.6156,                 1.0816,                 0.7875,                 1.5165,               0.000911,               0.000911,               0.000911
                    112,                0.88369,                0.81327,                 1.3055,                0.88327,                0.77031,                 0.8587,                0.62953,                 1.0777,                0.77552,                 1.5165,              0.0009011,              0.0009011,              0.0009011
                    113,                0.88925,                0.83284,                 1.2994,                 0.8743,                 0.7515,                0.86071,                 0.6252,                 1.0869,                0.79506,                 1.5276,              0.0008912,              0.0008912,              0.0008912
                    114,                0.89084,                0.82296,                 1.3019,                0.89778,                0.75749,                0.87367,                0.62025,                 1.0818,                0.80107,                 1.5031,              0.0008813,              0.0008813,              0.0008813
                    115,                0.87828,                0.80725,                 1.3019,                0.89283,                0.76347,                 0.8657,                0.61952,                 1.0944,                0.81222,                 1.5291,              0.0008714,              0.0008714,              0.0008714
                    116,                0.89854,                0.84835,                 1.3071,                 0.8641,                 0.8024,                0.85616,                0.61852,                 1.0944,                0.80283,                 1.5288,              0.0008615,              0.0008615,              0.0008615
                    117,                 0.8796,                0.82843,                 1.2968,                0.87881,                0.77844,                0.85592,                0.62122,                 1.0885,                0.79174,                 1.5317,              0.0008516,              0.0008516,              0.0008516
                    118,                0.90486,                0.84949,                  1.317,                0.87897,                0.76102,                 0.8495,                0.62815,                 1.0762,                0.78107,                 1.5237,              0.0008417,              0.0008417,              0.0008417
                    119,                0.88353,                0.82873,                 1.3032,                0.86554,                0.77094,                0.85324,                0.61891,                 1.0752,                0.78991,                 1.5237,              0.0008318,              0.0008318,              0.0008318
                    120,                0.87077,                0.82362,                 1.2941,                0.86578,                0.77249,                0.84982,                0.61806,                 1.0529,                0.81915,                 1.4841,              0.0008219,              0.0008219,              0.0008219
                    121,                0.85946,                0.80482,                 1.2864,                0.88597,                0.74441,                0.85125,                0.62574,                   1.07,                0.81208,                 1.5134,               0.000812,               0.000812,               0.000812
                    122,                0.87119,                0.81115,                 1.2905,                0.87655,                0.76647,                0.84888,                0.61816,                 1.0794,                0.81249,                 1.5273,              0.0008021,              0.0008021,              0.0008021
                    123,                0.86788,                0.80457,                  1.293,                0.88164,                 0.7583,                0.85347,                0.61794,                 1.0905,                0.80879,                   1.54,              0.0007922,              0.0007922,              0.0007922
                    124,                0.85665,                0.79248,                  1.282,                0.89093,                0.76647,                0.86128,                 0.6337,                 1.0534,                0.77207,                 1.5005,              0.0007823,              0.0007823,              0.0007823
                    125,                0.86155,                0.79821,                 1.2824,                0.86266,                0.78986,                0.85746,                0.62725,                 1.0995,                0.76879,                 1.5298,              0.0007724,              0.0007724,              0.0007724
                    126,                0.83367,                0.77418,                 1.2722,                0.90502,                0.77246,                0.85873,                0.63378,                  1.058,                0.75836,                 1.5053,              0.0007625,              0.0007625,              0.0007625
                    127,                0.83185,                0.76691,                 1.2664,                0.91536,                0.74478,                0.84837,                0.62878,                 1.0581,                0.79029,                 1.4968,              0.0007526,              0.0007526,              0.0007526
                    128,                0.83877,                0.76384,                 1.2664,                0.85568,                0.78105,                0.86318,                0.61958,                 1.0726,                0.80362,                 1.5256,              0.0007427,              0.0007427,              0.0007427
                    129,                0.83022,                0.75029,                 1.2633,                0.88459,                0.78025,                0.85419,                0.61219,                 1.0981,                0.80706,                  1.559,              0.0007328,              0.0007328,              0.0007328
                    130,                0.85032,                0.77673,                 1.2756,                0.90129,                0.75749,                0.85756,                0.61646,                 1.0872,                0.79796,                 1.5514,              0.0007229,              0.0007229,              0.0007229
                    131,                0.84496,                0.77722,                 1.2731,                0.88927,                0.76942,                0.85119,                0.62473,                 1.0651,                0.78131,                  1.528,               0.000713,               0.000713,               0.000713
                    132,                0.83046,                0.76685,                 1.2632,                0.89184,                0.76528,                0.85917,                0.62954,                 1.0815,                0.75851,                   1.52,              0.0007031,              0.0007031,              0.0007031
