                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.0103,                 1.0673,                  1.401,                0.81501,                0.62604,                0.69038,                0.40357,                 1.5107,                 1.3142,                 2.0699,             0.00057778,             0.00057778,             0.00057778
                    134,                0.99055,                 1.0194,                  1.372,                0.89741,                0.59688,                0.70396,                0.40179,                 1.5316,                 1.3039,                 2.0799,             0.00056953,             0.00056953,             0.00056953
                    135,                0.99009,                0.98572,                 1.3827,                0.79801,                0.64631,                0.70722,                 0.3868,                 1.5993,                 1.2362,                 2.1525,             0.00056128,             0.00056128,             0.00056128
                    136,                0.97678,                 0.9885,                 1.3718,                0.83394,                0.56402,                0.66379,                0.38202,                 1.5521,                 1.2597,                  2.102,             0.00055303,             0.00055303,             0.00055303
                    137,                0.97797,                0.98314,                 1.3769,                0.71668,                0.63766,                0.69127,                0.39696,                 1.5679,                 1.3259,                 2.0673,             0.00054478,             0.00054478,             0.00054478
                    138,                0.98978,                0.98748,                 1.3944,                0.85674,                0.56876,                0.68205,                0.39647,                 1.4774,                 1.3355,                 2.0256,             0.00053652,             0.00053652,             0.00053652
                    139,                0.97583,                0.99144,                 1.3847,                0.87756,                0.57771,                0.70473,                0.40168,                  1.485,                 1.2663,                 2.0054,             0.00052827,             0.00052827,             0.00052827
                    140,                 0.9523,                0.97892,                 1.3574,                0.84021,                0.59568,                0.69026,                0.41173,                 1.4723,                  1.239,                 2.0434,             0.00052002,             0.00052002,             0.00052002
                    141,                0.95738,                0.97615,                 1.3551,                0.79853,                0.63671,                 0.7171,                0.40091,                  1.517,                 1.2914,                 2.0658,             0.00051177,             0.00051177,             0.00051177
                    142,                0.95223,                0.96338,                 1.3438,                0.90808,                0.56979,                0.69481,                0.39995,                 1.4908,                 1.3329,                 2.0469,             0.00050352,             0.00050352,             0.00050352
                    143,                0.95472,                 0.9433,                 1.3541,                0.89479,                0.57316,                0.70708,                0.38921,                  1.536,                 1.3841,                 2.0659,             0.00049527,             0.00049527,             0.00049527
                    144,                0.97544,                0.95809,                 1.3681,                0.79527,                0.61875,                0.70078,                0.40475,                 1.5114,                 1.2959,                 2.0351,             0.00048701,             0.00048701,             0.00048701
                    145,                0.95277,                0.97269,                  1.357,                0.89714,                0.60417,                0.71285,                0.42248,                 1.4909,                 1.2282,                 2.0596,             0.00047876,             0.00047876,             0.00047876
                    146,                0.91062,                 0.9328,                 1.3074,                0.86797,                 0.5679,                0.70484,                0.40148,                 1.5133,                 1.2707,                 2.0864,             0.00047051,             0.00047051,             0.00047051
                    147,                0.93471,                0.92848,                 1.3317,                0.84393,                0.62083,                0.73714,                0.41604,                 1.4973,                 1.2105,                 2.0415,             0.00046226,             0.00046226,             0.00046226
