                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.77685,                0.79775,                 1.2361,                0.78689,                 0.7046,                0.73176,                0.47123,                 1.3575,                 1.2105,                 1.9452,             0.00036857,             0.00036857,             0.00036857
                    137,                0.73767,                 0.7752,                 1.2098,                0.77676,                0.66699,                0.72254,                0.46325,                 1.3848,                 1.2081,                 1.9932,             0.00036307,             0.00036307,             0.00036307
                    138,                 0.7426,                0.79454,                 1.2161,                0.78234,                0.66812,                0.73324,                0.46882,                 1.3744,                 1.2719,                 1.9413,             0.00035758,             0.00035758,             0.00035758
                    139,                0.74525,                0.79024,                 1.2051,                0.83678,                0.63183,                0.72851,                 0.4756,                 1.3255,                 1.1877,                 1.9362,             0.00035208,             0.00035208,             0.00035208
                    140,                 0.7568,                0.79516,                 1.2213,                0.80675,                 0.6548,                0.72057,                0.47569,                 1.3674,                 1.1525,                 1.9686,             0.00034658,             0.00034658,             0.00034658
                    141,                0.74307,                0.74341,                 1.2143,                0.81212,                0.63681,                0.71634,                0.47431,                 1.4035,                 1.1832,                 1.9827,             0.00034108,             0.00034108,             0.00034108
                    142,                 0.7375,                0.78278,                 1.2189,                 0.8281,                0.61485,                0.71341,                0.46844,                 1.4073,                  1.184,                 2.0348,             0.00033558,             0.00033558,             0.00033558
                    143,                 0.7465,                0.78997,                 1.2148,                0.75091,                0.69404,                0.71469,                0.45313,                 1.4323,                 1.1518,                 2.0501,             0.00033008,             0.00033008,             0.00033008
                    144,                0.74445,                0.77614,                 1.2271,                0.77565,                0.64906,                 0.7127,                0.46723,                 1.3834,                 1.1629,                 1.9979,             0.00032458,             0.00032458,             0.00032458
                    145,                0.72329,                0.75404,                 1.2037,                0.81045,                0.63746,                0.71093,                  0.475,                 1.4194,                 1.1293,                 2.0341,             0.00031908,             0.00031908,             0.00031908
                    146,                0.73132,                 0.7616,                 1.2094,                0.71278,                 0.6691,                0.71397,                0.46401,                 1.4259,                 1.1981,                 2.0383,             0.00031358,             0.00031358,             0.00031358
                    147,                0.72266,                0.73884,                 1.2046,                0.84484,                0.60783,                 0.7164,                0.46408,                  1.434,                 1.2196,                 2.0741,             0.00030808,             0.00030808,             0.00030808
                    148,                0.72322,                0.75611,                 1.2021,                0.73325,                0.69368,                0.71055,                0.46447,                  1.402,                 1.2402,                 2.0438,             0.00030258,             0.00030258,             0.00030258
